acct_id,hq_id,company,userDomain,city,region,countryCode,revenue_mil_usd,total_employees,naic3,naic6,isISP,usageType,datesCount,domainsCount,hitsSum,pageViewsSum,uniqueViewsSum,clicks,clickDates,hits_iabCat_IAB_1,hits_iabCat_IAB_2,hits_iabCat_IAB_3,hits_iabCat_IAB_4,hits_iabCat_IAB_5,hits_iabCat_IAB_6,hits_iabCat_IAB_7,hits_iabCat_IAB_8,hits_iabCat_IAB_9,hits_iabCat_IAB_10,hits_iabCat_IAB_11,hits_iabCat_IAB_12,hits_iabCat_IAB_13,hits_iabCat_IAB_14,hits_iabCat_IAB_15,hits_iabCat_IAB_16,hits_iabCat_IAB_17,hits_iabCat_IAB_18,hits_iabCat_IAB_19,hits_iabCat_IAB_20,hits_iabCat_IAB_21,hits_iabCat_IAB_22,hits_iabCat_IAB_23,hits_iabCat_IAB_24,hits_iabCat_IAB_25,hits_iabCat_IAB_26
1-10084SK,1-10084SK,REDACTED,REDACTED,Salt Lake City,Utah,US,16.3136,50,332,332312,0,COM,7,7,22,59,35,0,0,0,5,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,8,0,3,2,0,0,0,0
1-1008815,1-1008815,REDACTED,REDACTED,Delray Beach,Florida,US,4.1121,53,721,721110,0,COM,23,63,168,550,215,0,0,22,22,4,0,0,1,4,0,7,2,0,49,10,1,0,0,5,11,18,1,2,4,0,5,0,0
1-1008KK9,1-1008KK9,REDACTED,REDACTED,Lynden,Washington,US,8.6832,265,611,611110,0,ORG,30,185,619,1496,936,0,0,40,41,2,1,64,1,33,0,51,5,0,140,42,4,6,0,23,13,127,0,14,9,0,3,0,0
1-1008M3M,1-1008M3M,REDACTED,REDACTED,New Bedford,Massachusetts,US,4.7394,65,238,238210,0,COM,12,22,51,100,67,0,0,4,3,0,0,0,0,0,0,15,0,0,16,4,0,0,1,1,3,0,0,4,0,0,0,0,0
1-1008MPX,1-1008MPX,REDACTED,REDACTED,El Cajon,California,US,5.4739,70,623,623110,0,ORG,12,16,35,87,50,0,0,0,0,0,0,1,0,2,4,2,1,0,17,1,0,0,0,0,4,3,0,0,0,0,0,0,0
1-1008MPX,1-1008MPX,REDACTED,REDACTED,Murrieta,California,US,5.4739,70,623,623110,0,ORG,23,37,85,162,97,0,0,1,25,3,1,0,0,0,0,14,0,0,8,6,0,0,0,3,3,17,0,2,2,0,0,0,0
1-1008NGF,1-1008NGF,REDACTED,REDACTED,Salem,Oregon,US,2.1133,65,713,713910,0,COM,15,11,31,67,42,0,0,17,1,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1-1008TTI,1-1008TTI,REDACTED,REDACTED,Surprise,Arizona,US,12.2954,50,441,441210,0,COM,24,39,105,610,267,0,0,9,20,0,0,0,0,3,0,22,0,1,15,8,0,0,0,2,3,19,0,1,2,0,0,0,0
1-1008U6J,4-1NBO-92363,REDACTED,REDACTED,Simpsonville,South Carolina,US,5.6394,125,813,813110,0,ORG,10,12,20,90,34,0,0,0,0,0,0,1,0,0,0,0,0,0,10,1,1,0,0,2,0,4,0,0,1,0,0,0,0
1-1008UAE,1-YIDRR5,REDACTED,REDACTED,Anaheim,California,US,10.1013,90,484,484110,0,COM,13,14,21,65,26,0,0,1,1,0,0,1,0,0,0,2,1,0,0,1,0,2,0,1,2,7,1,1,0,0,0,0,0
